DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,SAT Overall Avg
10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,354,354.7
10X549,DISCOVERY HIGH SCHOOL,55,372,379,364,371.7
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356,366.7
10X667,GRACE DODGE YABC,10,350,356,317,341.0
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636,640.0
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382,377.7
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390,382.3
11X265,BRONX LAB SCHOOL,81,377,391,367,378.3
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361,380.3
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354,370.3
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433,449.3
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383,378.3
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391,389.7
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,367,361,353,360.3
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,,,,,#DIV/0!
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416,422.7
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368,383.7
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,,,,,#DIV/0!
11X513,NEW WORLD HIGH SCHOOL,72,332,381,335,349.3
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363,370.7
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375,376.3
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419,429.3
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365,375.3
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382,387.7
12X245,NEW DAY ACADEMY,25,348,344,354,348.7
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341,351.7
12X251,EXPLORATIONS ACADEMY,57,381,381,360,374.0
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360,358.0
12X267,BRONX LATIN,36,408,432,411,417.0
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358,367.3
12X278,PEACE AND DIVERSITY ACADEMY,34,390,401,364,385.0
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298,323.3
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,,,,,#DIV/0!
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349,367.0
12X478,THE CINEMA SCHOOL,,,,,#DIV/0!
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,,,,,#DIV/0!
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398,393.7
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312,313.0
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341,343.0
12X684,WINGS ACADEMY,66,378,374,362,371.3
12X690,MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,376,379.3
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,357,349,346.0
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373,358.0
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,439,374,418,410.3
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356,360.0
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384,371.3
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395,403.7
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587,611.0
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312,327.0
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389,402.0
13K499,ACORN COMMUNITY HIGH SCHOOL,72,384,364,368,372.0
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,400,390,403,397.7
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,,,,,#DIV/0!
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379,399.0
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394,394.3
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431,437.3
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,396.3
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,,,,,#DIV/0!
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448,463.7
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413,451.0
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359,361.7
14K322,FOUNDATIONS ACADEMY,,,,,#DIV/0!
14K404,ACADEMY FOR YOUNG WRITERS,68,387,357,381,375.0
14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,570,580.0
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396,396.3
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371,371.3
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395,401.3
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396,405.0
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350,363.3
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364,370.7
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380,395.7
14K586,LYONS COMMUNITY SCHOOL,31,371,377,355,367.7
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350,364.3
14K632,FRANCES PERKINS ACADEMY,12,382,372,368,374.0
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341,345.0
14K923,AUTOMOTIVE HIGH SCHOOL YABC,,,,,#DIV/0!
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383,370.3
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387,393.0
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,394,401.0
15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381,389.7
15K464,PARK SLOPE COLLEGIATE,72,379,416,380,391.7
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392,404.0
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385,395.0
15K520,PACIFIC HIGH SCHOOL,9,352,341,300,331.0
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,,,,,#DIV/0!
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368,367.0
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,421,411,419.3
15K667,SUNSET PARK HIGH SCHOOL,,,,,#DIV/0!
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425,423.7
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,358,356.0
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362,365.7
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358,364.0
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351,364.3
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,,,,,#DIV/0!
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,369,379.7
