DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,SAT Overall Avg
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424,429.0
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363,366.7
29Q326,CAMBRIA HEIGHTS ACADEMY,,,,,#DIV/0!
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394,406.7
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377,379.7
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359,384.0
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377,383.7
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",,,,,#DIV/0!
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405,418.3
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412,425.0
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395,406.0
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494,498.0
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398,413.0
30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329,375.7
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491,490.0
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544,545.3
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450,451.0
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385,398.3
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466,475.3
31R440,NEW DORP HIGH SCHOOL,391,424,437,416,425.7
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,426.3
31R450,CURTIS HIGH SCHOOL,375,437,435,429,433.7
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470,472.7
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459,462.7
31R470,CONCORD HIGH SCHOOL,10,466,455,414,445.0
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,411.7
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636,651.0
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370,383.3
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352,366.0
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE‰ÛÒBUSHWICK,88,384,409,361,384.7
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334,345.0
32K552,ACADEMY OF URBAN PLANNING,67,342,364,354,353.3
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422,438.3
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350,351.7
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358,344.7
75K371,P.S. 371 s LILLIAN L. RASHKIS,,,,,#DIV/0!
75M035,P.S. 035,,,,,#DIV/0!
75Q256,P.S. Q256,,,,,#DIV/0!
75Q811,P.S. Q811,32,429,444,433,435.3
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,,,,,#DIV/0!
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,,,,,#DIV/0!
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,,,,,#DIV/0!
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,,,,,#DIV/0!
79Q950,GED PLUS s CITYWIDE,8,496,400,426,440.7
79X490,PHOENIX ACADEMY,9,367,370,360,365.7
